COUNTS (London Underground) ― station annualised entries and exits,,,,,,
,,,,,,
,,,,,,
Counts by Station,,,,,,
,2015,2016,2017,2018,2019,2020
,Annualised,Annualised,Annualised,Annualised,Annualised,Annualised
Station,en / ex,en / ex,en / ex,en / ex,en/ex,en/ex
Acton Town,"6,235,045","6,274,649","5,548,653","5,602,366","6,186,555","3,568,528"
Aldgate,"7,527,810","8,009,494","8,189,327","8,749,567","9,956,600","2,775,844"
Aldgate East,"12,839,311","13,434,630","12,839,249","13,286,713","14,148,654","3,144,899"
Alperton,"3,205,455","3,174,845","2,803,977","2,684,562","2,858,439","2,064,990"
Amersham,"2,287,149","2,360,700","2,144,813","2,029,208","2,350,099","863,361"
Angel,"19,756,365","20,100,806","17,654,268","17,104,155","17,705,761","5,255,371"
Archway,"9,794,439","9,940,993","8,525,383","8,273,701","8,772,643","4,429,802"
Arnos Grove,"4,550,587","4,645,869","4,232,545","4,114,244","4,436,265","2,340,827"
Arsenal,"2,802,635","3,012,524","2,585,862","2,567,759","2,768,340","999,026"
Baker Street,"29,379,132","29,754,860","26,468,077","26,271,208","28,073,310","8,475,976"
Balham LU,"14,178,948","14,637,993","13,150,875","12,267,026","13,064,682","5,241,275"
Bank and Monument,"57,512,971","64,262,200","57,365,409","54,143,025","61,793,808","7,031,102"
Barbican,"11,283,478","11,973,122","10,942,509","10,545,930","10,467,974","2,537,108"
Barking,"16,055,212","15,860,320","16,727,280","16,791,184","18,133,350","14,289,887"
Barkingside,"1,406,286","1,633,262","1,494,484","1,483,723","1,575,379","915,270"
Barons Court,"7,295,186","7,207,423","6,553,843","6,406,214","6,821,846","3,127,255"
Bayswater,"5,219,590","4,756,028","4,296,099","4,247,271","4,253,914","1,086,943"
Becontree,"3,490,288","3,545,530","3,348,367","3,337,504","3,461,331","2,756,262"
Belsize Park,"6,155,599","6,482,865","5,737,188","5,562,045","5,679,733","2,769,409"
Bermondsey,"10,163,683","11,068,171","9,761,447","9,096,454","9,448,211","4,400,677"
Bethnal Green LU,"16,164,737","16,272,340","14,250,806","13,834,674","14,920,047","6,849,607"
Blackfriars LU,"13,702,647","15,449,362","13,708,070","13,569,163","15,533,461","2,894,042"
Blackhorse Road,"8,360,092","8,452,553","8,265,167","8,712,498","9,741,998","6,158,916"
Bond Street,"37,119,274","39,528,650","35,677,149","35,038,233","37,487,361","9,682,506"
Borough,"5,358,351","5,873,875","5,403,590","5,224,779","5,547,448","1,471,942"
Boston Manor,"2,242,854","2,322,687","2,101,530","1,990,842","2,185,122","1,041,242"
Bounds Green,"6,462,300","6,615,420","5,863,965","5,540,284","5,990,306","2,953,366"
Bow Road,"6,102,443","5,645,547","5,191,665","5,110,144","5,229,778","2,660,676"
Brent Cross,"2,566,618","2,493,412","2,316,101","2,288,473","2,406,723","1,348,186"
Brixton LU,"30,830,921","33,460,967","30,115,123","29,393,363","32,032,655","12,735,503"
Bromley-by-Bow,"3,685,840","3,789,045","3,455,156","3,927,321","4,229,591","2,575,616"
Buckhurst Hill,"2,063,838","2,188,937","2,125,865","1,774,615","1,856,050","862,044"
Burnt Oak,"4,383,772","4,519,973","4,128,354","4,034,964","4,190,341","2,926,900"
Caledonian Road,"6,126,683","5,725,549","5,253,234","5,060,342","5,603,533","2,343,114"
Camden Town,"21,898,497","22,884,901","20,562,294","19,749,634","20,499,697","5,509,540"
Canada Water,"12,777,430","14,438,625","13,814,292","12,193,701","13,114,503","6,129,616"
Canary Wharf LU,"54,441,424","54,785,734","47,026,119","47,420,006","47,685,725","13,355,134"
Canning Town,"10,916,031","11,913,321","12,172,949","12,959,568","14,826,082","10,546,032"
Cannon Street LU,"7,485,065","8,983,249","8,709,241","6,985,385","7,108,243","1,559,861"
Canons Park,"2,786,006","2,925,484","2,825,335","2,786,261","2,981,768","1,501,564"
Chalfont & Latimer,"1,437,534","1,488,465","1,544,051","1,723,196","1,766,734","818,368"
Chalk Farm,"5,752,495","5,608,603","5,378,830","5,111,017","5,448,344","1,661,516"
Chancery Lane,"16,355,373","18,189,655","16,239,781","16,191,309","17,253,849","3,405,923"
Charing Cross LU,"20,690,327","8,126,588","17,887,267","18,272,105","19,477,585","3,400,411"
Chesham,"875,261","1,069,954","1,046,678","1,067,533","1,170,792","616,342"
Chigwell,"559,061","531,799","462,266","481,219","524,833","247,222"
Chiswick Park,"2,148,469","2,292,764","2,069,824","2,009,243","2,443,330","1,067,866"
Chorleywood,"1,137,678","1,070,254","693,895","735,587","1,492,279","769,367"
Clapham Common,"10,072,099","10,043,328","9,610,051","9,497,156","9,644,363","4,500,440"
Clapham North,"7,026,138","6,903,645","6,291,312","5,898,067","6,136,734","2,868,042"
Clapham South,"8,584,904","8,797,066","7,943,428","7,686,950","8,095,216","3,382,641"
Cockfosters,"1,847,585","2,040,080","1,770,483","1,733,992","1,864,419","886,857"
Colindale,"5,946,531","6,227,278","6,564,995","6,845,781","7,700,808","4,335,294"
Colliers Wood,"6,515,664","6,715,162","6,143,649","6,187,738","6,836,968","3,666,803"
Covent Garden,"14,669,250","17,188,811","15,997,143","15,463,145","16,550,043","1,621,548"
Croxley,"1,059,406","1,078,029","1,044,504","1,012,981","1,121,607","515,420"
Dagenham East,"2,858,892","2,976,440","2,759,891","2,765,527","2,953,138","2,490,581"
Dagenham Heathway,"6,065,247","6,043,690","5,595,432","5,538,042","5,853,372","4,552,421"
Debden,"2,462,500","2,469,953","2,281,134","2,256,778","2,380,050","1,512,812"
Dollis Hill,"3,085,602","4,180,094","3,904,427","3,711,326","4,016,751","2,754,026"
Ealing Broadway,"16,840,132","18,604,788","15,438,625","15,256,443","16,088,979","7,717,377"
Ealing Common,"3,516,563","3,177,674","2,934,251","2,917,494","3,068,294","1,610,901"
Earl's Court,"20,501,361","19,998,114","18,315,275","18,038,448","19,127,125","7,898,110"
East Acton,"4,009,433","4,122,793","3,749,394","3,721,427","4,081,695","2,726,902"
East Finchley,"7,342,555","7,470,306","6,731,889","6,359,488","6,866,724","2,870,898"
East Ham,"15,094,316","14,746,847","13,493,404","12,716,003","13,011,044","8,485,806"
East Putney,"5,995,120","6,369,310","5,688,424","5,840,057","6,445,888","3,056,532"
Eastcote,"2,833,742","2,943,186","2,775,768","2,663,285","2,825,453","1,365,559"
Edgware,"4,776,513","5,188,838","4,853,766","4,652,319","4,922,141","2,815,355"
Edgware Road (Bak),"4,503,184","5,006,662","4,256,360","4,543,579","4,856,904","2,362,854"
Edgware Road (DIS),"7,210,074","6,963,367","6,584,557","6,470,144","6,737,179","2,835,355"
Elephant & Castle LU,"19,088,917","23,295,457","20,318,096","18,478,708","19,754,830","8,559,895"
Elm Park,"3,004,341","3,096,321","3,023,084","2,932,263","3,143,319","2,007,136"
Embankment,"21,562,479","26,844,711","20,332,035","19,808,941","20,963,697","4,055,183"
Epping,"3,330,335","3,770,408","3,657,536","3,887,640","4,084,533","1,909,072"
Euston LU,"42,159,332","43,099,154","39,435,615","38,072,649","41,092,380","8,794,406"
Euston Square,"14,878,866","14,395,409","13,064,546","13,100,277","14,119,388","3,668,927"
Fairlop,"1,134,269","1,197,309","1,141,796","1,130,351","1,248,117","687,862"
Farringdon,"23,775,738","15,874,802","18,709,215","23,640,212","25,924,012","5,899,244"
Finchley Central,"5,779,925","6,949,909","6,640,929","7,735,744","8,485,023","3,718,793"
Finchley Road,"9,951,123","9,998,400","8,843,105","8,788,267","9,187,606","4,696,641"
Finsbury Park LU,"28,847,088","32,738,968","28,689,627","30,446,843","33,396,270","15,817,399"
Fulham Broadway,"10,714,422","10,153,787","8,857,942","8,379,497","8,816,445","3,911,983"
Gants Hill,"6,588,251","7,143,148","6,284,177","5,935,419","6,358,482","3,741,492"
Gloucester Road,"14,203,922","13,975,040","12,682,041","12,900,412","13,738,684","3,933,949"
Golders Green,"8,700,123","8,511,338","7,719,029","7,593,044","7,895,394","3,897,645"
Goldhawk Road,"2,088,026","2,123,640","1,968,705","2,027,934","2,127,422","972,028"
Goodge Street,"8,841,266","8,463,593","6,956,194","6,992,927","8,507,731","1,625,476"
Grange Hill,"657,661","663,262","619,426","610,718","652,468","296,723"
Great Portland Street,"8,343,311","8,657,946","7,486,171","7,307,968","7,974,138","2,635,853"
Green Park,"39,552,887","41,241,175","36,204,197","35,640,212","39,059,216","9,446,617"
Greenford,"4,716,521","4,806,850","4,310,133","4,045,335","4,170,423","2,964,852"
Gunnersbury,"5,410,585","5,784,841","5,277,427","5,153,366","5,522,635","2,178,993"
Hainault,"3,607,791","3,738,019","3,504,251","3,445,006","3,644,122","2,625,053"
Hammersmith (DIS),"28,834,401","29,417,701","26,943,101","25,965,505","27,049,240","9,895,644"
Hammersmith (H&C),"10,703,965","10,567,650","9,989,059","9,446,986","10,252,785","3,929,123"
Hampstead,"4,557,566","4,637,096","4,419,096","4,305,956","4,665,745","2,259,516"
Hanger Lane,"3,949,461","4,095,538","3,584,768","3,411,247","3,548,004","1,904,069"
Harlesden,"3,007,807","3,099,292","2,951,734","2,896,096","3,056,499","2,464,347"
Harrow & Wealdstone,"5,002,877","4,963,518","4,454,771","4,461,585","4,661,780","3,033,409"
Harrow-on-the-Hill,"10,259,516","10,665,325","10,085,500","9,844,597","10,698,286","6,185,709"
Hatton Cross,"3,199,955","3,248,674","2,938,551","2,915,579","3,238,018","1,562,318"
Heathrow Terminals 123 LU,"7,489,313","7,731,054","7,084,577","7,302,679","7,881,446","1,859,318"
Heathrow Terminal 4 LU,"2,347,501","2,278,746","2,078,282","2,119,377","2,125,220",0
Heathrow Terminal 5 LU,"3,902,026","4,452,155","4,112,383","4,146,150","4,476,640","1,173,177"
Hendon Central,"7,970,028","8,130,263","7,183,381","6,978,311","7,190,413","3,385,014"
High Barnet,"3,648,827","3,647,152","3,932,590","3,856,124","4,047,339","2,028,542"
High Street Kensington,"13,362,540","13,103,200","11,729,206","11,438,847","11,691,230","3,574,133"
Highbury & Islington,"18,443,978","20,222,247","18,448,668","16,325,269","17,504,715","8,221,119"
Highgate,"5,482,772","5,769,258","5,403,448","5,153,172","5,652,865","2,341,117"
Hillingdon,"1,856,117","1,772,004","1,671,301","1,636,733","1,648,055","840,109"
Holborn,"40,530,196","33,956,572","30,026,148","29,516,492","31,253,089","7,171,859"
Holland Park,"3,366,174","3,225,381","3,341,704","3,256,367","3,722,034","1,993,894"
Holloway Road,"6,728,651","6,719,981","6,232,814","5,922,007","6,687,750","2,260,557"
Hornchurch,"2,023,958","2,108,498","2,070,155","2,010,632","2,139,412","1,247,419"
Hounslow Central,"4,010,773","3,825,932","3,628,523","3,443,285","3,635,704","1,947,240"
Hounslow East,"4,515,142","3,870,493","3,707,434","3,609,729","3,920,633","2,333,768"
Hounslow West,"3,545,552","3,545,471","3,224,047","3,214,106","3,531,951","1,825,754"
Hyde Park Corner,"7,436,827","6,310,733","5,051,752","4,484,014","4,438,810","1,689,055"
Ickenham,"1,190,362","1,166,906","1,084,007","1,093,613","1,118,573","554,519"
Kennington,"5,529,121","5,592,864","5,118,046","4,897,182","5,508,345","2,398,479"
Kensal Green,"2,563,193","2,724,536","2,475,387","2,314,577","2,488,061","1,354,080"
Kensington (Olympia),"2,008,711","2,047,039","1,796,755","1,574,801","109,430","35,234"
Kentish Town,"10,493,555","8,358,081","7,684,771","7,304,085","8,121,594","3,257,153"
Kenton,"2,116,417","2,078,584","1,905,293","1,800,814","1,889,965","1,561,991"
Kew Gardens,"3,549,683","4,176,827","4,003,609","3,778,970","3,825,494","1,808,585"
Kilburn,"8,269,438","8,582,187","7,901,280","7,794,314","8,116,651","3,945,831"
Kilburn Park,"3,417,148","3,428,178","3,083,850","3,163,585","3,285,734","1,482,189"
King's Cross St. Pancras,"93,413,018","95,030,793","89,664,989","85,713,775","88,273,827","18,837,593"
Kingsbury,"4,968,747","5,122,530","4,800,702","4,463,122","4,551,665","3,236,734"
Knightsbridge,"20,296,928","19,086,044","15,723,223","16,009,066","16,528,117","4,464,303"
Ladbroke Grove,"5,813,508","5,801,892","5,472,436","5,420,919","6,130,079","2,835,701"
Lambeth North,"3,285,854",0,"3,230,709","3,828,188","3,868,659","1,195,291"
Lancaster Gate,"6,293,475","7,060,983","5,715,027","5,947,188","6,628,043","1,503,898"
Latimer Road,"2,572,535","2,627,529","2,269,983","2,314,959","2,320,784","1,121,245"
Leicester Square,"43,745,951","37,843,681","33,476,768","33,281,524","34,563,636","3,950,320"
Leyton,"14,406,501","14,331,098","12,344,993","11,021,861","11,262,368","7,325,632"
Leytonstone,"11,244,737","11,300,919","10,098,636","9,406,708","9,822,700","5,650,715"
Liverpool Street LU,"73,257,321","71,614,231","62,443,905","64,015,644","67,202,755","16,267,905"
London Bridge LU,"71,964,428","70,735,683","63,588,867","68,505,976","74,343,494","24,721,911"
Loughton,"3,272,688","3,448,907","3,303,903","3,187,979","3,473,615","1,747,510"
Maida Vale,"3,382,758","3,409,091","3,018,784","3,019,372","3,302,961","1,538,572"
Manor House,"9,275,642","9,122,653","7,952,548","7,584,576","8,554,567","3,599,717"
Mansion House,"5,561,213","6,136,459","5,944,388","6,719,808","6,789,496","1,067,130"
Marble Arch,"15,442,682","14,108,617","12,831,358","12,104,907","12,159,194","3,657,164"
Marylebone LU,"12,525,312","12,948,293","12,573,882","12,491,712","12,881,989","2,630,669"
Mile End,"16,310,716","15,746,922","14,452,146","14,216,056","14,971,042","6,787,729"
Mill Hill East,"1,318,158","1,340,993","1,276,606","1,865,642","1,407,857","813,926"
Moor Park,"886,390","914,852","868,396","877,176","932,748","593,315"
Moorgate,"26,062,630","27,565,959","25,005,346","23,211,618","25,050,824","5,839,734"
Morden,"9,275,569","10,056,185","9,557,696","9,348,068","9,815,261","5,488,034"
Mornington Crescent,"4,531,089","5,039,573","4,626,768","4,128,274","4,001,482","1,331,040"
Neasden,"3,672,470","3,749,439","3,530,287","3,293,160","3,450,466","2,478,884"
Newbury Park,"4,327,727","5,429,546","5,082,087","4,544,367","5,079,924","3,168,498"
North Acton,"6,106,253","6,530,887","6,253,132","5,694,952","6,241,955","3,717,589"
North Ealing,"892,594","905,402","760,992","771,312","880,333","507,381"
North Greenwich,"26,377,071","26,452,132","25,736,854","24,160,807","28,280,620","9,641,852"
North Harrow,"1,937,838","1,968,198","1,774,830","1,758,862","1,930,536","954,512"
North Wembley,"1,836,732","1,791,287","1,630,334","1,523,154","1,572,051","1,225,092"
Northfields,"4,080,122","3,913,283","3,664,907","3,521,169","3,975,886","1,899,266"
Northolt,"5,026,000","5,157,171","4,764,271","4,601,662","4,976,954","3,383,878"
Northwick Park,"4,588,128","4,651,799","4,173,622","3,957,697","4,357,031","2,426,206"
Northwood,"2,475,743","2,488,831","2,805,111","2,534,389","2,743,087","1,515,209"
Northwood Hills,"1,720,439","1,910,904","1,857,190","1,781,224","1,903,375","1,165,488"
Notting Hill Gate,"16,683,962","17,184,657","14,963,176","13,509,568","15,070,782","5,682,051"
Oakwood,"2,842,657","2,875,067","2,649,038","2,558,833","2,780,380","1,310,286"
Old Street,"25,143,510","25,966,550","24,283,148","24,744,407","27,107,822","6,683,590"
Osterley,"2,350,196","2,315,575","2,012,743","1,966,579","2,179,739","963,611"
Oval,"6,968,322","6,447,853","6,761,138","6,791,737","7,170,152","3,313,152"
Oxford Circus,"92,355,623","83,258,977","77,233,147","72,276,363","78,073,457","14,598,777"
Paddington TfL,"49,637,302","49,480,436","44,853,002","45,387,655","48,612,110","11,420,070"
Park Royal,"2,019,382","2,015,314","1,862,341","1,823,150","2,047,993","1,245,850"
Parsons Green,"6,822,161","6,746,851","6,236,547","6,086,226","6,558,793","3,026,008"
Perivale,"2,405,584","2,460,144","2,313,502","2,324,688","2,444,064","1,503,990"
Piccadilly Circus,"42,796,831","41,291,525","37,343,016","35,901,370","38,396,960","4,175,738"
Pimlico,"11,264,698","11,485,039","10,090,084","9,781,856","10,813,686","4,243,221"
Pinner,"3,084,213","3,198,703","3,162,667","3,250,780","2,960,479","1,360,437"
Plaistow,"7,063,495","5,490,616","5,631,060","5,587,981","5,567,660","3,769,831"
Preston Road,"3,427,709","3,308,379","3,337,451","3,081,866","3,230,285","2,030,454"
Putney Bridge,"5,756,910","5,416,663","4,950,680","5,044,804","5,766,944","2,626,929"
Queen's Park,"5,771,615","5,636,721","5,190,767","4,978,234","5,412,178","2,775,384"
Queensbury,"4,525,278","4,675,024","4,275,402","4,005,863","4,114,533","2,855,288"
Queensway,"7,656,619","8,707,156","7,775,590","7,504,704","8,254,515","2,119,882"
Ravenscourt Park,"3,189,008","3,178,278","2,958,160","2,980,988","3,228,328","1,921,494"
Rayners Lane,"4,512,905","4,460,978","3,980,834","3,758,661","4,159,999","2,336,745"
Redbridge,"2,934,539","3,054,243","2,700,921","2,614,131","2,804,018","1,564,820"
Regent's Park,"3,541,481","3,346,006","3,329,135","3,298,699","3,867,435","1,628,977"
Richmond,"8,661,325","8,112,159","7,631,849","7,665,047","8,081,806","2,167,117"
Rickmansworth,"2,442,771","2,455,761","2,504,872","2,177,774","2,387,979","1,385,890"
Roding Valley,"260,651","367,335","341,726","449,418","449,612","190,163"
Royal Oak,"2,491,199","2,545,583","2,407,155","2,466,426","2,608,698","1,251,188"
Ruislip,"1,903,105","1,948,970","1,829,737","1,846,849","1,932,543","948,688"
Ruislip Gardens,"1,112,623","1,072,221","1,071,154","992,730","1,106,583","549,192"
Ruislip Manor,"2,005,867","1,993,852","1,881,525","1,797,920","1,893,831","988,143"
Russell Square,"13,328,942","12,345,236","10,507,602","11,403,453","12,274,252","2,744,465"
Seven Sisters,"17,522,713","18,605,749","16,786,912","16,982,020","17,020,209","10,305,872"
