CSS Overall Evaluation,,,,,,,,,,,,,
CSS Overall Evaluation,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
,Note that ELL data is included from 2003/04 to 2007/08 and cannot be removed.,,,,,,,,,,,,
Bakerloo,79,80,79,79,80,80,81,84,83,83,85,86,85
Central,78,78,78,77,80,80,79,80,82,82,83,83,84
District,79,77,74,77,79,79,79,78,83,83,83,86,86
Jubilee,78,78,79,78,80,80,79,81,85,84,86,87,87
Circle + H&C,76,77,74,76,77,77,78,79,82,83,84,85,85
Metropolitan,76,73,77,78,77,78,78,80,84,84,88,87,87
Northern,75,79,74,77,81,79,80,80,83,82,85,85,84
Piccadilly,80,80,77,77,80,80,80,80,84,82,84,85,85
Victoria,76,78,76,74,78,79,79,79,84,83,84,85,85
Network,78,78,76,77,79,79,79,80,83,83,84,85,85
,QTR 1,QTR 2,QTR 3,QTR 4,,,,,,,,,
CSS Overall Evaluation,2003/04,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,83,73,82,81,,,,,,,,,
Central,78,74,72,77,,,,,,,,,
District,77,74,76,77,,,,,,,,,
Jubilee,78,78,79,77,,,,,,,,,
Circle + H&C,73,73,72,75,,,,,,,,,
Metropolitan,73,75,71,74,,,,,,,,,
Northern,79,73,74,79,,,,,,,,,
Piccadilly,78,78,77,79,,,,,,,,,
Victoria,78,71,76,78,,,,,,,,,
Network,78,75,75,78,,,,,,,,,
CSS Overall Evaluation,2004/05,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,80,75,81,79,,,,,,,,,
Central,79,76,78,79,,,,,,,,,
District,80,74,79,81,,,,,,,,,
Jubilee,80,79,79,74,,,,,,,,,
Circle + H&C,72,78,79,75,,,,,,,,,
Metropolitan,75,77,76,75,,,,,,,,,
Northern,77,74,75,75,,,,,,,,,
Piccadilly,81,80,79,80,,,,,,,,,
Victoria,78,72,77,77,,,,,,,,,
Network,78,76,78,78,,,,,,,,,
CSS Overall Evaluation,2005/06,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,80,80,80,80,,,,,,,,,
Central,78,78,77,80,,,,,,,,,
District,77,79,76,77,,,,,,,,,
Jubilee,76,81,78,78,,,,,,,,,
Circle + H&C,77,79,77,76,,,,,,,,,
Metropolitan,73,77,71,71,,,,,,,,,
Northern,77,79,80,78,,,,,,,,,
Piccadilly,80,80,79,80,,,,,,,,,
Victoria,79,76,78,77,,,,,,,,,
Network,78,79,78,78,,,,,,,,,
CSS Overall Evaluation,2006/07,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,81,76,78,80,,,,,,,,,
Central,79,77,78,79,,,,,,,,,
District,77,73,71,74,,,,,,,,,
Jubilee,78,79,80,79,,,,,,,,,
Circle + H&C,75,76,72,75,,,,,,,,,
Metropolitan,76,76,78,77,,,,,,,,,
Northern,75,73,75,75,,,,,,,,,
Piccadilly,79,74,77,78,,,,,,,,,
Victoria,78,73,74,78,,,,,,,,,
Network,78,75,76,77,,,,,,,,,
CSS Overall Evaluation,2007/08,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,82,80,76,78,,,,,,,,,
Central,78,77,76,75,,,,,,,,,
District,78,77,78,76,,,,,,,,,
Jubilee,78,80,76,80,,,,,,,,,
Circle + H&C,77,75,77,76,,,,,,,,,
Metropolitan,80,77,76,77,,,,,,,,,
Northern,78,77,78,75,,,,,,,,,
Piccadilly,78,77,75,76,,,,,,,,,
Victoria,75,74,75,74,,,,,,,,,
Network,78,77,76,76,,,,,,,,,
CSS Overall Evaluation,2008/09,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,82,82,80,82,,,,,,,,,
Central,78,79,80,79,,,,,,,,,
District,80,77,82,81,,,,,,,,,
Jubilee,80,80,78,81,,,,,,,,,
Circle + H&C,77,78,78,79,,,,,,,,,
Metropolitan,81,77,75,75,,,,,,,,,
Northern,81,80,79,82,,,,,,,,,
Piccadilly,79,80,81,81,,,,,,,,,
Victoria,77,76,77,81,,,,,,,,,
Network,79,79,79,80,,,,,,,,,
CSS Overall Evaluation,2009/10,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,82,82,79,78,,,,,,,,,
Central,81,81,80,78,,,,,,,,,
District,81,80,77,78,,,,,,,,,
Jubilee,81,82,80,79,,,,,,,,,
Circle + H&C,79,76,78,74,,,,,,,,,
Metropolitan,77,78,81,77,,,,,,,,,
Northern,80,78,79,79,,,,,,,,,
Piccadilly,80,80,80,79,,,,,,,,,
Victoria,79,81,78,79,,,,,,,,,
Network,80,80,79,78,,,,,,,,,
CSS Overall Evaluation,2010/11,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,84,81,79,81,,,,,,,,,
Central,80,78,79,79,,,,,,,,,
District,80,79,79,79,,,,,,,,,
Jubilee,77,83,78,78,,,,,,,,,
Circle + H&C,77,79,75,78,,,,,,,,,
Metropolitan,80,74,77,81,,,,,,,,,
Northern,82,80,81,79,,,,,,,,,
Piccadilly,80,80,79,81,,,,,,,,,
Victoria,81,78,79,77,,,,,,,,,
Network,80,80,79,79,,,,,,,,,
CSS Overall Evaluation,2011/12,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,84,83,85,83,,,,,,,,,
Central,79,79,79,82,,,,,,,,,
District,79,78,75,80,,,,,,,,,
Jubilee,81,82,83,79,,,,,,,,,
Circle + H&C,84,83,85,83,,,,,,,,,
Metropolitan,79,82,81,81,,,,,,,,,
Northern,79,78,81,81,,,,,,,,,
Piccadilly,80,78,80,83,,,,,,,,,
Victoria,78,79,79,83,,,,,,,,,
Network,79,79,80,81,,,,,,,,,
CSS Overall Evaluation,2012/13,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,83,84,83,81,,,,,,,,,
Central,78,82,83,85,,,,,,,,,
District,81,82,84,84,,,,,,,,,
Jubilee,85,86,84,87,,,,,,,,,
Circle + H&C,83,84,83,81,,,,,,,,,
Metropolitan,83,87,86,81,,,,,,,,,
Northern,83,83,83,84,,,,,,,,,
Piccadilly,82,83,86,83,,,,,,,,,
Victoria,81,85,85,84,,,,,,,,,
Network,82,83,84,84,,,,,,,,,
CSS Overall Evaluation,2013/14,,,,,,,,,,,,
,,,,,,,,,,,,,
Bakerloo,84,82,83,82,,,,,,,,,
Central,82,81,81,83,,,,,,,,,
District,83,83,82,84,,,,,,,,,
Jubilee,85,83,83,83,,,,,,,,,
