Escalator Availability,,,,,,,,,,,,,
Escalator Availability,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Bakerloo,95.00%,97.10%,98.30%,95.40%,95.60%,95.60%,89.20%,91.90%,99.10%,98.70%,99.40%,99.70%,99.40%
Central,94.50%,94.90%,97.40%,96.00%,89.70%,92.70%,95.20%,93.50%,97.90%,96.00%,95.50%,99.30%,96.30%
Waterloo & City,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Circle & Ham,89.20%,93.70%,96.40%,97.80%,96.90%,96.00%,98.00%,97.80%,98.90%,98.40%,95.60%,95.10%,97.40%
District,87.70%,98.90%,95.50%,94.20%,99.80%,97.40%,96.70%,98.20%,99.30%,92.60%,87.80%,99.60%,99.80%
Jubilee,98.00%,96.70%,95.50%,95.90%,96.20%,97.10%,96.60%,96.40%,97.10%,97.30%,97.20%,96.90%,97.10%
Metropolitan,99.50%,98.40%,98.60%,99.80%,99.60%,99.80%,99.70%,98.50%,86.90%,99.90%,98.90%,99.80%,98.60%
Northern,89.60%,93.60%,95.90%,94.50%,98.90%,98.00%,98.20%,97.30%,97.30%,97.70%,97.20%,97.70%,98.40%
Piccadilly,94.20%,96.90%,95.80%,96.60%,95.10%,94.20%,92.90%,95.70%,97.30%,97.90%,96.40%,98.20%,97.50%
Victoria,90.30%,93.70%,97.50%,98.20%,97.50%,95.80%,96.60%,97.10%,97.80%,95.10%,97.40%,96.70%,99.40%
TOTAL ALL LINES,94.10%,95.70%,96.40%,96.10%,95.80%,96.00%,95.70%,95.90%,97.60%,97.10%,96.60%,97.70%,97.70%
,1,2,3,4,5,6,7,8,9,10,11,12,13
Escalator Availability,2003/04,,,,,,,,,,,,
Bakerloo,91.90%,91.80%,93.00%,94.00%,92.80%,94.30%,89.70%,91.10%,94.20%,94.00%,93.40%,94.60%,94.90%
Central,89.50%,90.50%,89.90%,94.20%,96.30%,96.20%,96.10%,95.00%,93.20%,92.70%,91.40%,89.50%,90.40%
Waterloo & City,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
