Excess Journey Time,,,,,,,,,,,,,
Excess Journey Time,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Bakerloo,,,,,,,5.56,4.07,4.16,3.52,3.65,3.68,3.58
Central,,,,,,,6.01,5.74,4.78,4.78,4.31,4.4,4.46
Waterloo & City,,,,,,,2.19,1.78,1.79,2.04,2.06,2.07,2.19
Circle & Ham,,,,,,,5.67,4.58,4.85,5.44,4.89,5.69,5.13
District,,,,,,,5.06,4.41,4.27,4.15,4.06,4.19,4.33
Jubilee,,,,,,,6.94,4.26,3.67,3.62,2.85,3.12,2.72
Metropolitan,,,,,,,6.25,4.7,4.41,4.38,3.2,4.1,6.33
Northern,,,,,,,4.07,3.6,3.58,3.68,3.28,2.83,2.46
Piccadilly,,,,,,,5.26,4.82,4.21,4,3.94,4.12,4.44
Victoria,,,,,,,5.61,4.53,3.71,3.8,3.19,3,3.02
TOTAL ALL LINES,7.11,7.3,7.91,7.74,6.66,6.37,6.52,5.83,5.27,5.21,4.63,4.58,4.7
,1,2,3,4,5,6,7,8,9,10,11,12,13
Excess Journey Time,2003/04,,,,,,,,,,,,
Bakerloo,Data by line not available,,,,,,,,,,,,
Central,,,,,,,,,,,,,
Waterloo & City,,,,,,,,,,,,,
Circle & Ham,,,,,,,,,,,,,
District,,,,,,,,,,,,,
Jubilee,,,,,,,,,,,,,
Metropolitan,,,,,,,,,,,,,
Northern,,,,,,,,,,,,,
Piccadilly,,,,,,,,,,,,,
Victoria,,,,,,,,,,,,,
TOTAL ALL LINES,7.15,6.77,6.97,6.74,7.07,6.79,7.11,10.62,7.57,7.69,6.72,6.82,7.77
Excess Journey Time,2004/05,,,,,,,,,,,,
Bakerloo,Data by line not available,,,,,,,,,,,,
Central,,,,,,,,,,,,,
Waterloo & City,,,,,,,,,,,,,
Circle & Ham,,,,,,,,,,,,,
District,,,,,,,,,,,,,
Jubilee,,,,,,,,,,,,,
Metropolitan,,,,,,,,,,,,,
Northern,,,,,,,,,,,,,
Piccadilly,,,,,,,,,,,,,
Victoria,,,,,,,,,,,,,
TOTAL ALL LINES,6.92,6.72,6.71,8.23,7.13,6.15,6.92,7.84,7.7,6.29,6.83,8.02,6.91
Excess Journey Time,2005/06,,,,,,,,,,,,
Bakerloo,Data by line not available,,,,,,,,,,,,
Central,,,,,,,,,,,,,
Waterloo & City,,,,,,,,,,,,,
Circle & Ham,,,,,,,,,,,,,
District,,,,,,,,,,,,,
Jubilee,,,,,,,,,,,,,
Metropolitan,,,,,,,,,,,,,
Northern,,,,,,,,,,,,,
Piccadilly,,,,,,,,,,,,,
Victoria,,,,,,,,,,,,,
TOTAL ALL LINES,6.45,6.41,6.58,11.1,7.48,6.35,7.53,7.25,7.84,6.33,7.3,7.27,7.07
Excess Journey Time,2006/07,,,,,,,,,,,,
Bakerloo,Data by line not available,,,,,,,,,,,,
Central,,,,,,,,,,,,,
Waterloo & City,,,,,,,,,,,,,
Circle & Ham,,,,,,,,,,,,,
District,,,,,,,,,,,,,
Jubilee,,,,,,,,,,,,,
Metropolitan,,,,,,,,,,,,,
Northern,,,,,,,,,,,,,
Piccadilly,,,,,,,,,,,,,
Victoria,,,,,,,,,,,,,
TOTAL ALL LINES,7,7.86,7.62,8.88,7.43,6.85,7.82,8.5,9.83,6.55,8.29,8.47,7.75
Excess Journey Time,2007/08,,,,,,,,,,,,
Bakerloo,Data by line not available,,,,,,,,,,,,
