Average Lost Customer Hours per period - all causes and all attribution parties [Network by category],,,,,,,,,,,,,
Lost Customer Hours,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Animals / Pests,"1,603",318,"1,554","1,322","1,711",462,"1,338","1,644",424,"2,785",829,656,"1,607"
ATP / ATO,"55,090","15,561","11,927","8,829","10,781","8,626","40,034","16,038","11,235","21,458","25,587","21,614","18,673"
Bridge Strike,"1,867",798,501,513,"1,136",68,328,"2,073",270,118,290,326,78
Crowding,,,,,,,,,,,"16,743","30,973","27,452"
Customers & Public,"370,474","342,168","422,408","418,575","398,729","371,203","370,301","383,968","326,046","328,803","273,461","279,545","342,329"
External Properties,"1,536","7,681","2,894","9,355","3,853","2,370","1,857","5,180","9,982","2,739","6,805","8,349","4,070"
Fleet,"810,549","786,762","827,643","1,068,261","695,777","484,212","539,396","400,897","346,138","348,586","300,911","371,272","491,012"
Gas / Water / Sewage,"12,489","1,646","11,448","3,196","4,498","2,388","14,759","3,576","32,207","5,287","2,500",146,542
National Rail Operations,"42,899","34,473","28,036","32,637","18,665","15,092","39,498","27,874","15,533","19,345","20,916","20,396","33,201"
Other LU Operations,"18,900","12,680","11,213","16,562","12,673","14,321","5,723","9,593","8,248","7,149","3,117","5,300","4,510"
Power Failure,"11,466","15,720","14,835","7,913","7,614","4,957","16,068","12,893","8,658","7,647","15,124","26,007","16,339"
Safety & Security,"112,441","1,238,803","77,421","57,477","52,672","34,361","32,272","20,754","18,295","12,606","12,425","16,378","25,420"
Signals,"841,022","624,380","642,461","608,837","511,533","417,942","481,831","410,205","285,148","263,993","251,604","183,371","206,255"
Staff,"260,428","474,811","360,768","454,134","315,016","255,822","308,335","302,535","223,511","227,513","202,859","185,085","209,413"
Staff - Absence or Shortage,"225,892","248,185","255,581","281,268","164,096","139,261","137,465","248,816","126,896","133,280","128,872","102,453","250,621"
Staff Industrial Action,"185,797","262,431","19,696","5,492",176,"319,303","572,056","29,150","86,080","268,107","293,971","622,313","187,958"
Stations,"164,506","238,289","169,041","145,882","114,006","151,806","101,754","104,085","73,111","58,284","53,004","43,665","58,210"
Track & Civils,"293,846","467,775","585,465","589,439","323,404","277,546","294,146","173,911","165,038","116,177","102,367","99,962","69,383"
Transplant Operations,"13,575",907,"1,067",784,165,88,"5,812",40,132,46,"14,443","1,679","2,008"
Other,130,"1,939","1,088",133,170,36,14,44,35,0,89,551,235
Vandalism,"24,388","53,696","40,965","52,362","42,011","35,633","47,031","20,261","14,081","10,115","11,009","12,400","17,970"
Weather,990,"4,594","26,901","10,709","137,924","11,918","32,009","18,862","7,199","29,141","6,286","2,736","39,150"
TOTAL,"3,449,886","4,833,617","3,512,910","3,773,681","2,816,607","2,547,417","3,042,028","2,192,397","1,758,267","1,863,178","1,743,212","2,035,177","2,006,433"
,1,2,3,4,5,6,7,8,9,10,11,12,13
Lost Customer Hours,2003/04,,,,,,,,,,,,
Animals / Pests,0,0,0,0,0,0,0,0,0,"1,804",0,162,0
ATP / ATO,"58,627","45,162","31,331","60,215","64,200","97,978","36,710","69,942","94,575","35,001","54,954","37,073","40,373"
Bridge Strike,0,0,0,0,0,0,0,0,0,0,0,28,0
Customers & Public,"305,702","350,413","275,617","319,294","316,218","335,910","333,293","423,217","437,168","276,481","286,768","411,578","430,460"
External Properties,0,0,0,0,0,0,0,0,0,"1,413",340,"3,571",204
Fleet,"945,618","1,090,879","1,242,152","1,179,417","1,259,153","1,270,679","1,357,454","1,387,939","1,274,652","862,915","1,161,963","966,754","1,069,947"
Gas / Water / Sewage,"5,459",753,"2,560","19,944","49,252","11,607","29,924","15,818",576,200,928,"1,410",63
National Rail Operations,"20,785","36,705","107,936","69,458","81,391","53,964","65,616","102,565","68,995","47,113","69,952","112,280","77,580"
Other LU Operations,0,0,68,334,249,477,165,755,55,"25,360","49,947","19,693","23,489"
Power Failure,"20,218","4,146","6,982","9,060","5,587","330,505","16,409","25,514","46,483","18,824","3,791","7,564","5,527"
Safety & Security,"122,257","96,700","209,879","150,318","120,362","155,080","103,991","88,693","89,242","48,808","53,388","54,420","305,996"
Signals,"733,701","462,152","401,097","983,874","969,259","803,010","729,406","842,061","812,102","656,598","764,770","953,872","1,112,111"
Staff,"202,303","188,719","186,301","259,160","279,235","311,071","234,013","310,059","298,365","175,244","327,027","306,321","326,961"
Staff - Absence or Shortage,"441,669","508,644","558,679","504,170","677,228","637,295","499,481","438,086","393,209","257,722","315,868","297,255","323,636"
Staff Industrial Action,0,0,0,0,0,178,0,284,574,0,0,0,"2,067"
Stations,"192,252","277,090","272,093","179,824","203,645","176,090","187,365","135,981","129,916","62,605","89,434","158,108","99,153"
Track & Civils,"178,225","336,781","533,571","345,664","363,452","275,288","789,808","1,591,026","430,348","278,400","526,754","366,366","433,730"
Transplant Operations,274,"1,168",252,"1,542",355,"7,603","3,882","5,454","3,173",501,"1,593",231,468
Other,0,0,0,0,171,723,866,"1,073",0,111,0,0,854
Vandalism,"30,768","25,970","30,821","45,592","38,967","36,018","79,070","56,340","43,700","42,879","34,722","39,077","36,794"
Weather,0,0,0,0,"19,152",0,0,0,0,0,0,0,"1,578"
TOTAL,"3,257,855","3,425,283","3,859,340","4,127,866","4,447,877","4,503,476","4,467,453","5,494,806","4,123,132","2,791,979","3,742,198","3,735,764","4,290,991"
Lost Customer Hours,2004/05,,,,,,,,,,,,
Animals / Pests,"1,430",452,0,"1,545",0,"8,480",434,348,"4,181","2,573",377,"1,016",0
ATP / ATO,"48,863","52,823","50,682","41,436","67,800","46,884","68,731","88,212","47,826","77,224","49,987","44,312","31,395"
Bridge Strike,"13,636",0,0,0,85,396,0,"2,334",24,0,0,309,"7,489"
Customers & Public,"328,656","315,068","344,002","411,093","411,317","348,730","484,594","364,705","437,876","292,943","345,519","325,470","406,188"
External Properties,80,0,0,300,"2,404","4,940","1,405","2,349",168,66,310,744,"7,204"
Fleet,"990,202","834,319","998,413","758,689","898,227","680,174","698,981","856,996","639,162","579,748","837,076","1,117,240","647,909"
Gas / Water / Sewage,0,0,"4,900",0,"2,097","1,344","16,977","95,075",74,575,0,"13,415","27,905"
National Rail Operations,"39,582","33,310","39,383","42,695","145,137","22,626","60,172","38,989","30,575","20,680","41,534","28,960","14,042"
Other LU Operations,"20,782","13,326","42,348","20,706","13,582","6,849","16,627","24,657","19,579","18,096","25,210","14,723","9,215"
