Average Lost Customer Hours per period - all causes and all attribution parties [Network by Line],,,,,,,,,,,,,
Lost Customer Hours,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Bakerloo,"138,947","156,058","145,593","183,043","134,547","122,391","132,692","84,327","128,419","79,786","72,633","77,603","98,363"
Central,"496,082","485,757","479,671","625,915","378,720","417,906","438,268","321,259","303,719","339,225","410,197","442,162","426,400"
Waterloo & City,"18,935","29,434","5,843","16,666","17,313","16,859","17,622","8,836","7,228","12,831","12,290","11,809","12,605"
Circle + H&C,"273,311","626,193","354,001","437,866","388,706","314,117","267,328","149,762","146,285","194,924","165,919","203,759","233,986"
District,"369,788","637,731","472,908","510,653","391,038","271,056","362,412","232,091","229,788","197,556","222,224","254,144","208,111"
Jubilee,"600,094","608,316","484,972","581,938","567,377","464,464","640,937","538,108","347,611","338,750","292,024","312,132","223,664"
Metropolitan,"180,533","206,128","188,844","150,866","122,895","136,101","192,324","139,563","124,437","116,044","94,278","103,054","81,367"
Northern,"626,819","866,307","508,605","478,547","307,662","268,515","297,321","207,759","157,581","191,029","139,362","204,115","155,719"
Piccadilly,"446,001","880,805","486,127","435,581","273,543","275,521","323,690","243,172","156,745","189,575","205,068","282,150","420,445"
Victoria,"299,375","336,887","386,346","352,604","234,805","260,487","369,435","267,520","156,455","203,457","129,217","144,248","145,774"
NETWORK,"3,449,886","4,833,617","3,512,910","3,773,681","2,816,607","2,547,417","3,042,028","2,192,397","1,758,267","1,863,178","1,743,212","2,035,177","2,006,433"
,1,2,3,4,5,6,7,8,9,10,11,12,13
Lost Customer Hours,2003/04,,,,,,,,,,,,
Bakerloo,"167,804","213,857","157,497","153,850","174,547","132,044","121,454","169,523","108,624","122,480","140,823","251,540","261,219"
Central,"434,560","315,660","625,985","652,087","686,140","809,052","720,676","804,445","519,913","309,637","434,275","358,238","461,981"
Waterloo & City,"26,228","26,350","7,454","36,988","22,385","28,951","26,507","33,143","6,893","4,860","1,549","23,113","29,173"
Circle + H&C,"317,285","473,479","448,653","406,077","515,612","749,416","491,603","473,076","484,190","516,844","444,880","431,330","432,559"
District,"317,697","321,544","674,757","515,856","531,575","605,020","426,876","506,440","699,090","262,670","453,975","528,097","668,791"
Jubilee,"650,538","411,507","528,518","706,587","680,006","567,325","1,215,777","1,291,361","625,006","512,221","813,807","542,341","539,802"
Metropolitan,"193,990","213,628","231,212","254,585","221,847","238,354","190,357","235,670","387,762","291,763","205,352","255,963","208,970"
Northern,"363,754","617,522","411,152","545,812","522,267","520,738","572,087","1,016,043","399,043","239,185","491,238","519,870","529,770"
Piccadilly,"456,614","508,269","527,512","464,204","685,938","474,190","426,719","421,790","332,375","282,896","362,603","519,788","735,256"
Victoria,"329,386","323,467","246,599","391,819","407,560","378,386","275,397","543,315","560,237","249,423","393,697","305,485","423,469"
NETWORK,"3,257,855","3,425,283","3,859,340","4,127,866","4,447,877","4,503,476","4,467,453","5,494,806","4,123,132","2,791,979","3,742,198","3,735,764","4,290,991"
Lost Customer Hours,2004/05,,,,,,,,,,,,
Bakerloo,"146,187","149,264","149,038","148,419","220,477","129,880","141,432","129,768","123,314","102,778","121,988","144,763","99,001"
Central,"659,982","663,609","667,716","651,056","737,503","421,796","453,093","600,970","265,295","227,116","328,744","501,433","270,754"
Waterloo & City,"18,774","29,833","7,738","10,849","47,225","38,297","22,745","11,356","11,817","1,866","3,014","15,847","26,790"
Circle + H&C,"380,105","261,418","272,479","514,017","323,406","167,337","290,900","181,788","242,431","198,998","150,903","331,994","237,270"
District,"596,947","208,906","385,217","564,408","384,551","306,638","324,950","323,697","335,785","208,716","423,670","400,798","342,955"
Jubilee,"583,257","495,618","691,400","990,874","493,817","688,056","495,986","434,678","644,088","446,527","540,817","791,671","504,437"
