% of Schedule Operated,,,,,,,,,,,,,,,,,,,
Schedule Operated,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,,,,,,
Bakerloo,95.10%,95.50%,95.40%,94.00%,96.00%,96.70%,95.80%,97.50%,95.90%,97.80%,97.80%,97.10%,96.70%,,,,,,
Central,96.20%,97.10%,96.80%,95.50%,96.90%,97.50%,96.30%,96.70%,97.60%,97.20%,96.30%,96.00%,96.20%,,,,,,
Waterloo & City,96.50%,96.50%,97.70%,95.50%,93.50%,95.20%,95.80%,98.00%,98.30%,97.50%,97.60%,97.60%,97.60%,,,,,,
Circle & Ham,92.90%,85.10%,90.10%,87.50%,88.90%,90.80%,92.00%,94.60%,95.00%,94.90%,95.90%,94.60%,93.20%,,,,,,
District,96.60%,93.10%,95.40%,95.60%,96.60%,97.50%,95.90%,97.70%,97.70%,97.80%,97.60%,97.20%,97.60%,,,,,,
Jubilee,96.90%,96.50%,96.60%,94.80%,94.90%,95.50%,93.70%,96.50%,97.70%,97.80%,98.00%,98.00%,98.60%,,,,,,
Metropolitan,96.20%,96.50%,95.80%,96.50%,96.90%,96.50%,93.80%,96.20%,96.70%,97.30%,97.80%,97.50%,97.80%,,,,,,
Northern,93.50%,90.60%,90.60%,95.80%,98.20%,98.10%,97.40%,98.60%,98.70%,98.60%,98.90%,98.40%,98.90%,,,,,,
Piccadilly,94.20%,90.80%,93.60%,93.20%,96.70%,96.10%,95.70%,96.40%,97.90%,97.20%,97.00%,95.60%,93.40%,,,,,,
Victoria,96.50%,96.50%,96.40%,96.00%,97.80%,96.50%,95.70%,97.10%,98.40%,97.40%,98.10%,98.20%,98.00%,,,,,,
TOTAL ALL LINES,95.30%,93.50%,94.50%,94.80%,96.40%,96.60%,95.60%,97.00%,97.60%,97.50%,97.60%,97.10%,96.90%,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,
% of Schedule Operated,2003/04,,,,,,,,,,,,,,,,,,
Bakerloo,92.40%,92.90%,94.00%,95.70%,93.50%,96.10%,95.90%,93.20%,95.20%,95.80%,96.10%,93.70%,85.90%,,,,,,
Central,70.30%,90.70%,95.70%,94.20%,94.60%,93.70%,94.60%,92.90%,95.00%,96.50%,97.50%,97.80%,95.80%,,,,,,
Waterloo & City,89.80%,94.90%,96.00%,95.00%,94.70%,94.40%,94.50%,93.90%,97.20%,97.70%,98.60%,98.70%,97.90%,,,,,,
Circle & Ham,86.20%,87.60%,82.40%,86.00%,85.40%,82.10%,85.90%,84.40%,78.50%,86.30%,88.50%,88.90%,90.40%,,,,,,
