Station,Latitude,Longitude
Acton Town,51.503057,-0.280462
Aldgate,51.515037,-0.072384
Aldgate East,51.515037,-0.072384
Alperton,51.540627,-0.29961
Amersham,51.674207,-0.60759
Angel,51.531788,-0.105919
Archway,51.565478,-0.134819
Arnos Grove,51.616446,-0.133062
Arsenal,51.489962,0.06917
Baker Street,51.522883,-0.15713
Balham,51.443259,-0.152707
Barbican,51.520275,-0.097993
Barking,51.539413,0.080988
Barkingside,51.585689,0.088585
Barons Court,51.490311,-0.213427
Bayswater,51.512284,-0.187938
Becontree,51.540331,0.127016
Belsize Park,51.550311,-0.164648
Bermondsey,51.49775,-0.063993
Bethnal Green,51.523917,-0.059568
Blackfriars,51.509613,-0.104166
Blackhorse Road,51.586768,-0.041185
Bond Street,51.513362,-0.148795
Borough,51.501199,-0.09337
Boston Manor,51.495635,-0.324939
Bounds Green,51.607034,-0.124235
Bow Road,51.52694,-0.025128
Brent Cross,51.57665,-0.213622
Brixton,51.462961,-0.114531
Bromley-by-Bow,51.524839,-0.011538
Buckhurst Hill,51.626605,0.046757
Burnt Oak,51.602774,-0.264048
Caledonian Road,51.548519,-0.118493
Camden Town,51.539292,-0.14274
Canada Water,51.498053,-0.049667
Canary Wharf,51.503734,-0.019121
Canning Town,51.514029,0.008025
Cannon Street,51.511451,-0.090357
Canons Park,51.607701,-0.294693
Chalfont & Latimer,51.668109,-0.560519
Chalk Farm,51.544118,-0.153388
Chancery Lane,51.518247,-0.111583
Charing Cross,51.507819,-0.126137
Chesham,51.705208,-0.611247
Chigwell,51.617916,0.075041
Chiswick Park,51.494627,-0.267972
Chorleywood,51.654249,-0.518312
Clapham Common,51.461742,-0.138317
Clapham North,51.465135,-0.130016
Grange Hill,51.613378,0.092066
Great Portland Street,51.52384,-0.144262
Green Park,51.506947,-0.142787
Greenford,51.542657,-0.345789
Gunnersbury,51.491745,-0.275276
Hainault,51.603659,0.093482
Hampstead,51.547533,-0.191357
Hanger Lane,51.530177,-0.292704
Harlesden,51.536305,-0.257774
Harrow & Wealdstone,51.592216,-0.334896
Harrow-on-the-Hill,51.579197,-0.337226
Hatton Cross,51.466747,-0.423191
Heathrow Terminal 4,51.458524,-0.445771
Heathrow Terminal 5,51.470052,-0.49056
Hendon Central,51.583301,-0.226424
High Barnet,51.650541,-0.194298
High Street Kensington,51.501055,-0.192792
Highbury & Islington,51.546269,-0.103538
Highgate,51.577532,-0.145857
Hillingdon,51.553715,-0.449828
Holborn,51.51758,-0.120475
Holland Park,51.507143,-0.205679
Holloway Road,51.552697,-0.113244
Hornchurch,51.554093,0.219116
Hounslow Central,51.471295,-0.366578
Hounslow East,51.473213,-0.356474
Hounslow West,51.473469,-0.386544
Hyde Park Corner,51.503035,-0.152441
Ickenham,51.56177,-0.442225
Kennington,51.488337,-0.105963
Kensal Green,51.530545,-0.22505
Kensington (Olympia),51.496156,-0.210502
Kentish Town,51.550409,-0.140545
Kenton,51.581786,-0.316946
Kew Gardens,51.477069,-0.285148
Kilburn,51.547183,-0.204248
Kilburn Park,51.534979,-0.194232
King's Cross St. Pancras,51.531683,-0.123538
Kingsbury,51.584845,-0.27879
Knightsbridge,51.501669,-0.160508
Ladbroke Grove,51.517449,-0.210391
Lambeth North,51.498808,-0.112315
Lancaster Gate,51.511723,-0.175494
Latimer Road,51.513389,-0.217799
Leicester Square,51.511386,-0.128426
Leyton,51.556589,-0.005523
Leytonstone,51.568324,0.008194
Park Royal,51.527123,-0.284341
Parsons Green,51.475277,-0.20117
Perivale,51.536717,-0.323446
Piccadilly Circus,51.51005,-0.133798
Pimlico,51.489097,-0.133761
Pinner,51.592901,-0.381161
Plaistow,51.531341,0.017451
Preston Road,51.571972,-0.295107
Putney Bridge,51.468262,-0.208731
Queen's Park,51.534443,-0.204882
Queensbury,51.594188,-0.286219
Rayners Lane,51.575147,-0.371127
Redbridge,51.576243,0.04536
Regent's Park,51.523344,-0.146444
Richmond,51.463152,-0.301448
Rickmansworth,51.640247,-0.473273
Roding Valley,51.617199,0.043647
Royal Oak,51.519113,-0.188748
Ruislip,51.556893,-0.399076
Ruislip Gardens,51.560736,-0.41071
Ruislip Manor,51.573202,-0.412973
Russell Square,51.523073,-0.124285
Seven Sisters,51.582931,-0.073306
Snaresbrook,51.580678,0.02144
South Ealing,51.501003,-0.307424
South Harrow,51.564888,-0.352492
South Kensington,51.494094,-0.174138
South Kenton,51.570229,-0.308448
South Ruislip,51.556893,-0.399076
South Wimbledon,51.415309,-0.192005
Southfields,51.445073,-0.206602
Southgate,51.632315,-0.127816
Southwark,51.50427,-0.105331
St. James's Park,51.499544,-0.133608
St. John's Wood,51.534521,-0.173948
St. Paul's,51.514936,-0.097567
Stamford Brook,51.494917,-0.245704
Stanmore,51.619839,-0.303266
Stepney Green,51.521858,-0.046596
Stockwell,51.472184,-0.122644
Stonebridge Park,51.544041,-0.275859
Stratford,51.541508,-0.00241
Sudbury Hill,51.556946,-0.336435
Sudbury Town,51.550815,-0.315745
Swiss Cottage,51.543681,-0.174894
Temple,51.511006,-0.11426
Theydon Bois,51.671759,0.103085
Tooting Bec,51.435678,-0.159736
West Hampstead,51.547533,-0.191357
West Ruislip,51.569721,-0.437816
Whitechapel,51.519498,-0.059858
Willesden Junction,51.532556,-0.243006
Wimbledon,51.421505,-0.206444
Wimbledon Park,51.434573,-0.199719
Wood Green,51.597479,-0.109886
Wood Lane,51.509669,-0.22453
Woodford,51.591907,0.027338
Woodside Park,51.618014,-0.18542
